8192, Split, 16, 1, WB, WA, 24681, 24173, 8283, 7818, 131856, 12024
16384, Split, 16, 1, WB, WA, 11514, 10560, 5839, 5051, 69412, 8008
32768, Split, 16, 1, WB, WA, 5922, 4321, 1567, 520, 29956, 3628
65536, Split, 16, 1, WB, WA, 2619, 484, 1290, 103, 15636, 3324
8192, Unified, 16, 1, WB, WA, 36136, 35787, 21261, 21098, 229588, 37844
8192, Unified, 32, 1, WB, WA, 26673, 26502, 19561, 19476, 369872, 69104
8192, Unified, 64, 1, WB, WA, 23104, 23029, 20377, 20324, 695696, 136112
32768, Split, 128, 1, WB, WA, 1964, 1726, 459, 280, 77536, 7296
8192, Split, 64, 2, WB, WA, 6590, 6462, 3160, 3032, 156000, 18880
8192, Split, 64, 4, WB, WA, 6025, 5897, 875, 747, 110400, 7296
8192, Split, 64, 8, WB, WA, 6435, 6307, 803, 675, 115808, 6656
8192, Split, 64, 16, WB, WA, 6536, 6408, 799, 671, 117360, 6624
8192, Split, 64, 128, WB, WA, 6523, 6395, 790, 662, 117008, 6576
1024, Split, 64, 2, WB, WA, 44962, 44946, 24767, 24751, 1115664, 149200
1024, Split, 64, 8, WB, WA, 45885, 45869, 22808, 22792, 1099088, 112480
1024, Split, 64, 16, WB, WA, 45969, 45953, 20667, 20651, 1066176, 90416
8192, Split, 16, 1, WT, WA, 24681, 24173, 8283, 7818, 131856, 66538
8192, Split, 32, 1, WT, WA, 15868, 15612, 7504, 7264, 186976, 66538
8192, Split, 64, 2, WT, WA, 6590, 6462, 3160, 3032, 156000, 66538
8192, Split, 16, 1, WB, WNA, 24681, 24173, 14904, 6688, 127304, 14643
8192, Split, 32, 1, WB, WNA, 15868, 15612, 15098, 6421, 180200, 22033
8192, Split, 64, 2, WB, WNA, 6590, 6462, 8638, 2726, 151104, 13624
